brand,customer_id,customer_tweet_id,brand_tweet_id,created_at,customer_message_raw,brand_reply_raw,customer_followup_raw,customer_message,brand_reply,customer_followup
ResolveCo,100017,1047,1048,Tue Oct 18 12:00:00 +0000 2017,"@ResolveCo your delivery driver left my parcel in the rain, its ruined","@100017 Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",@ResolveCo ok will try that,"your delivery driver left my parcel in the rain, its ruined","Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",ok will try that
ResolveCo,100020,1056,1057,Tue Oct 21 12:00:00 +0000 2017,"@ResolveCo cant log in, it says my password is wrong but its not",@100020 We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,,"cant log in, it says my password is wrong but its not",We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,
ResolveCo,100022,1061,1062,Tue Oct 23 12:00:00 +0000 2017,"@ResolveCo cant log in, it says my password is wrong but its not","@100022 Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.",@ResolveCo ok will try that,"cant log in, it says my password is wrong but its not","Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.",ok will try that
ResolveCo,100023,1064,1065,Tue Oct 24 12:00:00 +0000 2017,"@ResolveCo i want to cancel my account, this service is the worst","@100023 Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.","@ResolveCo thanks, that worked!","i want to cancel my account, this service is the worst","Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.","thanks, that worked!"
ResolveCo,100025,1069,1070,Tue Oct 26 12:00:00 +0000 2017,@ResolveCo app keeps crashing every time i open the payments tab,"@100025 Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",@ResolveCo ok will try that,app keeps crashing every time i open the payments tab,"Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",ok will try that
ResolveCo,100026,1072,1073,Tue Oct 27 12:00:00 +0000 2017,"@ResolveCo i want to cancel my account, this service is the worst",@100026 That's not okay. We've logged a claim and a replacement ships today at no cost to you.,,"i want to cancel my account, this service is the worst",That's not okay. We've logged a claim and a replacement ships today at no cost to you.,
ResolveCo,100029,1079,1080,Tue Oct 02 12:00:00 +0000 2017,"@ResolveCo i want to cancel my account, this service is the worst","@100029 Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",@ResolveCo still not fixed,"i want to cancel my account, this service is the worst","Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",still not fixed
ResolveCo,100031,1085,1086,Tue Oct 04 12:00:00 +0000 2017,@ResolveCo when does the new update roll out for android?,@100031 The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,,when does the new update roll out for android?,The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,
ResolveCo,100032,1087,1088,Tue Oct 05 12:00:00 +0000 2017,@ResolveCo app keeps crashing every time i open the payments tab,@100032 We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,,app keeps crashing every time i open the payments tab,We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,
ResolveCo,100034,1092,1093,Tue Oct 07 12:00:00 +0000 2017,@ResolveCo i was charged twice for the same subscription this month,@100034 The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,@ResolveCo ok will try that,i was charged twice for the same subscription this month,The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,ok will try that
ResolveCo,100035,1095,1096,Tue Oct 08 12:00:00 +0000 2017,@ResolveCo when does the new update roll out for android?,"@100035 Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.",,when does the new update roll out for android?,"Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.",
ResolveCo,100037,1100,1101,Tue Oct 10 12:00:00 +0000 2017,@ResolveCo i was charged twice for the same subscription this month,@100037 We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,@ResolveCo still not fixed,i was charged twice for the same subscription this month,We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,still not fixed
ResolveCo,100038,1103,1104,Tue Oct 11 12:00:00 +0000 2017,@ResolveCo how do i change the email address on my account?,"@100038 Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",,how do i change the email address on my account?,"Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",
ResolveCo,100044,1117,1118,Tue Oct 17 12:00:00 +0000 2017,@ResolveCo app keeps crashing every time i open the payments tab,"@100044 Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",,app keeps crashing every time i open the payments tab,"Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",
ResolveCo,100047,1125,1126,Tue Oct 20 12:00:00 +0000 2017,@ResolveCo app keeps crashing every time i open the payments tab,"@100047 Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.","@ResolveCo thanks, that worked!",app keeps crashing every time i open the payments tab,"Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.","thanks, that worked!"
ResolveCo,100050,1134,1135,Tue Oct 23 12:00:00 +0000 2017,@ResolveCo app keeps crashing every time i open the payments tab,"@100050 You can change it under Settings > Account > Email, then confirm via the link we send you.",,app keeps crashing every time i open the payments tab,"You can change it under Settings > Account > Email, then confirm via the link we send you.",
ResolveCo,100056,1150,1151,Tue Oct 01 12:00:00 +0000 2017,"@ResolveCo cant log in, it says my password is wrong but its not",@100056 That's not okay. We've logged a claim and a replacement ships today at no cost to you.,,"cant log in, it says my password is wrong but its not",That's not okay. We've logged a claim and a replacement ships today at no cost to you.,
ResolveCo,100059,1158,1159,Tue Oct 04 12:00:00 +0000 2017,"@ResolveCo my order hasnt arrived and its been 9 days, whats going on?",@100059 That's not okay. We've logged a claim and a replacement ships today at no cost to you.,"@ResolveCo thanks, that worked!","my order hasnt arrived and its been 9 days, whats going on?",That's not okay. We've logged a claim and a replacement ships today at no cost to you.,"thanks, that worked!"
ResolveCo,100061,1164,1165,Tue Oct 06 12:00:00 +0000 2017,@ResolveCo i was charged twice for the same subscription this month,"@100061 Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.",@ResolveCo still not fixed,i was charged twice for the same subscription this month,"Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.",still not fixed
ResolveCo,100062,1167,1168,Tue Oct 07 12:00:00 +0000 2017,"@ResolveCo cant log in, it says my password is wrong but its not","@100062 You can change it under Settings > Account > Email, then confirm via the link we send you.",@ResolveCo still not fixed,"cant log in, it says my password is wrong but its not","You can change it under Settings > Account > Email, then confirm via the link we send you.",still not fixed
ResolveCo,100065,1176,1177,Tue Oct 10 12:00:00 +0000 2017,"@ResolveCo my order hasnt arrived and its been 9 days, whats going on?","@100065 Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",@ResolveCo ok will try that,"my order hasnt arrived and its been 9 days, whats going on?","Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",ok will try that
ResolveCo,100068,1185,1186,Tue Oct 13 12:00:00 +0000 2017,"@ResolveCo cant log in, it says my password is wrong but its not","@100068 Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.",@ResolveCo still not fixed,"cant log in, it says my password is wrong but its not","Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.",still not fixed
ResolveCo,100073,1198,1199,Tue Oct 18 12:00:00 +0000 2017,@ResolveCo when does the new update roll out for android?,"@100073 You can change it under Settings > Account > Email, then confirm via the link we send you.",,when does the new update roll out for android?,"You can change it under Settings > Account > Email, then confirm via the link we send you.",
ResolveCo,100079,1213,1214,Tue Oct 24 12:00:00 +0000 2017,@ResolveCo i was charged twice for the same subscription this month,"@100079 Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",@ResolveCo ok will try that,i was charged twice for the same subscription this month,"Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",ok will try that
ResolveCo,100086,1233,1234,Tue Oct 03 12:00:00 +0000 2017,@ResolveCo i was charged twice for the same subscription this month,"@100086 Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",@ResolveCo ok will try that,i was charged twice for the same subscription this month,"Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",ok will try that
ResolveCo,100089,1241,1242,Tue Oct 06 12:00:00 +0000 2017,"@ResolveCo i want to cancel my account, this service is the worst",@100089 We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,"@ResolveCo thanks, that worked!","i want to cancel my account, this service is the worst",We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,"thanks, that worked!"
ResolveCo,100091,1247,1248,Tue Oct 08 12:00:00 +0000 2017,"@ResolveCo i want to cancel my account, this service is the worst","@100091 Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.","@ResolveCo thanks, that worked!","i want to cancel my account, this service is the worst","Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.","thanks, that worked!"
ResolveCo,100094,1256,1257,Tue Oct 11 12:00:00 +0000 2017,"@ResolveCo your delivery driver left my parcel in the rain, its ruined","@100094 Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.","@ResolveCo thanks, that worked!","your delivery driver left my parcel in the rain, its ruined","Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.","thanks, that worked!"
ResolveCo,100098,1267,1268,Tue Oct 15 12:00:00 +0000 2017,@ResolveCo how do i change the email address on my account?,@100098 That's not okay. We've logged a claim and a replacement ships today at no cost to you.,@ResolveCo still not fixed,how do i change the email address on my account?,That's not okay. We've logged a claim and a replacement ships today at no cost to you.,still not fixed
ResolveCo,100103,1280,1281,Tue Oct 20 12:00:00 +0000 2017,"@ResolveCo your delivery driver left my parcel in the rain, its ruined","@100103 Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.",@ResolveCo still not fixed,"your delivery driver left my parcel in the rain, its ruined","Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.",still not fixed
ResolveCo,100109,1296,1297,Tue Oct 26 12:00:00 +0000 2017,"@ResolveCo cant log in, it says my password is wrong but its not",@100109 The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,@ResolveCo still not fixed,"cant log in, it says my password is wrong but its not",The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,still not fixed
ResolveCo,100115,1314,1315,Tue Oct 04 12:00:00 +0000 2017,@ResolveCo app keeps crashing every time i open the payments tab,"@100115 Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.",@ResolveCo ok will try that,app keeps crashing every time i open the payments tab,"Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.",ok will try that
ResolveCo,100118,1322,1323,Tue Oct 07 12:00:00 +0000 2017,"@ResolveCo your delivery driver left my parcel in the rain, its ruined",@100118 The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,@ResolveCo still not fixed,"your delivery driver left my parcel in the rain, its ruined",The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,still not fixed
ResolveCo,100119,1325,1326,Tue Oct 08 12:00:00 +0000 2017,"@ResolveCo i want to cancel my account, this service is the worst","@100119 Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.","@ResolveCo thanks, that worked!","i want to cancel my account, this service is the worst","Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.","thanks, that worked!"
