id,customer_text,draft,evidence_ids,must_include,must_not_promise,human_groundedness_1_5,human_relevance_1_5,human_tone_1_5,human_safety_1_5,llm_judge_avg_if_any
amz-061,4 Days late but it finally made it here!,"I'm sorry to hear your order arrived later than expected! I would like to look into this for you. Could you please provide your order number and the most recent tracking scan shown here: <URL>? Once I have those details, I can investigate what caused the delay.",2977,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-069,"It was regarding a cashback, product bought in July, still haven't recd cashback","I'm sorry to hear you haven't received your cashback for your July purchase. Please don't provide your order details here, as this page is visible to the public. Kindly connect with us here: <URL> and we'll be happy to investigate this for you.",2826;315,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-126,Currently trying to figure out why my computer at work won’t load Amazon Prime Video???,"I'm sorry to hear you're having trouble loading Prime Video on your work computer. To help us investigate this, could you please let us know if you are receiving a specific error message? Also, please reach out to us via this link so we can look into your account details securely: <URL> ^NR",1277;646,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-096,Haven't received any mail from your so called specialist teams... Pathetic is a small word to describe your service levels currently,"I am very sorry to hear about your experience and the frustration this has caused. To help me look into this and investigate the status of your previous inquiries, please send us a Direct Message with your order or tracking details so we can review this privately.",3285;524;2174,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-073,First thing i have not possible for self return. So pls arrange from your hand,"I am sorry to hear you are unable to initiate the return yourself. I would like to investigate this for you. Could you please provide your order number or tracking details? Alternatively, please send us a DM with your order information so we can look into arranging a pickup for you.",1570,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-078,Prime has been SUCKING lately. Tuesday for 2 DAY shipping?? <URL>,I'm sorry for the frustration regarding your delivery delay. I'd like to look into this for you. Could you please send us a DM with your order number and the current tracking status you see here: <URL>? We'll investigate what's happening with your shipment right away.,1770;679,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-103,"- is the worst customer service. You lied, offered no acceptable reason, and offer no compensation #disappointed #ebay","I am very sorry to hear about your frustration regarding your experience. To help me investigate this further, could you please provide your order number or tracking details? Alternatively, please send us a DM with these details so we can look into this for you. ^PB",1201,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-145,"customer service going downhill..had item cancelled no update to me and points not refunded,took 3 calls to resolve,then did 2 prime order for new phone case and never showed..called and was told nothing can be done..whats the point of being a member??","We are very sorry to hear about your experience with your cancelled orders and the missing phone cases. This is certainly not the level of service we aim to provide. To investigate this further, please send us a DM with your order details or the email address associated with your account so we can look into this for you.",1,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-112,"Disappointed once again . First order lost by Amazon Delivery. Rep did a one day delivery for the re order which is now delayed by UPS. On top of that had to order an item I didn't want in order for the delivery to be made due to 2 items being ""add ons"". UGH, I can't win!","We are very sorry to hear about the repeated delays and the frustration this has caused with your recent orders. Could you confirm if we happened to miss the mentioned time frame? Please do not provide your order details here, as this page is visible to the public. Please send us a DM so we can investigate this further for you.",2255;2954;2663,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-005,Haven't received my order. Courier guys update wrong status - liars! No reply from customer service. #amazonsucks #?,I'm very sorry to hear your order hasn't arrived despite the delivery status. I'd like to investigate this with the carrier for you immediately. Could you please send us a DM with your order number or tracking details so we can look into this right away?,2109,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-104,Billing address is same as Shipping address. Could you please check I'm not able to change. Order 402-6608900-3256313,"I'm sorry for the confusion regarding your order 402-6608900-3256313. You can manage your order details as long as it hasn't entered the shipping process: https://www.amazon.com/gp/help/customer/display.html?nodeId=201910540. If you need further assistance, please send us a DM with your order details so we can investigate this for you. We're here to help!",633,acknowledge the request|ask for the order number,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-119,Share the courier details as i need phone on urgent basis please tell me the phone tracking,"I understand you need your phone urgently and would like to track your order. To help me investigate the current status and courier details for you, please share your order number via DM. Once provided, I will look into this immediately.",,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-120,"Not going to worry, since resolved now. Just hope the refund doesn’t take too long after you guys receive the return parcel. Thanks again.","Hey there! We're glad to hear the issue is resolved. We're not able to view order-related details via social media, but we'd like to help in any way we can! Please click here: <URL> so we can take a closer look at your return status with you.",3212,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-093,pls update me with my order status.,I understand you're looking for an update on your order status. Please don’t provide your order details here as it is personal information and our page is visible to the public. Please send us a DM with your order number so we can investigate this for you with the fastest shipping speed and we'll ensure to deliver it asap. (3/3),1639;2953,acknowledge the request|ask for the order number,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-079,"never expected a bullying & crooked behaviour from Amazon. I requested a return of defective iPhone SE, no one from Amazon..contd#",I am very sorry for the frustration regarding your defective iPhone SE and the lack of support you've received. We want to look into this for you immediately. Please send us a DM with your order details so we can investigate the status of your return request. Please don’t provide your order details here as it is personal information. Our Twitter page is visible to the public.,1384,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-025,"seriously? I bought a tiny pack of batteries the pack is literally 5mm thick, and you sent it in a huge box! This meant it couldn’t be put through my door, and my neighbours got woken up last night as I wasn’t in! Please use appropriate packaging for items!!!!! <URL>","I am sorry to hear about the frustration caused by the packaging size and the inconvenience this caused with your neighbors. We are always looking to improve our shipping processes. Could you please send us a DM with your order number or tracking details so we can investigate this further? In the meantime, please share your feedback regarding packaging here: <URL>",290;1307,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-114,ordered laptop by taking prime membership to be delivered in a day.NOT YET RECEIVED.This is how PRIME MEMBERS are treated. <URL>,"Hi there. I am very sorry to hear about the delay with your laptop delivery; this is certainly not the experience we want for our Prime members. To help me investigate this further, could you please send us a DM with your order number? Please don't provide your order details here, as our page is visible to the public.",814;217,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-067,I placed a prime now order last night for 10-12pm today and I’ve woken up to find it’s cancelled.. no reason given. I had to find out by checking the app for delivery time,I'm sorry to hear your Prime Now order was cancelled without notice. I understand how frustrating that is. Could you please send us a DM with your order number so we can investigate why this happened and look into the status of your refund?,1724;1476;3180,acknowledge the request|ask for the order number,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-040,3/ Worst case: sold my husband a new iPad Pro that turned out to be a demo model. Every time I then have to correct their mistake.,I am very sorry to hear that you received a demo model instead of a new iPad Pro. I would like to investigate this for you immediately. Could you please provide the order number or send us a DM with your account details so we can look into this? We want to ensure this is corrected for you.,3327,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-058,Item Number: 403-0024754-5758751 Delivered but didn't received. what a pathetic delivery channel for prime member. #fakeAmazon,I'm sorry to hear your package hasn't arrived despite the delivered status. We would like to investigate this with the carrier for you. Please send us a DM with your order number and the tracking information so we can look into this further. ^NR,814;2403;712,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-113,Now also it showed your account is blocked,"I am very sorry to hear that your account is showing as blocked. To help us investigate this further, please send us a DM with your account email address or any relevant order details. We will look into this and be in touch as soon as possible.",2139;822,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-123,"Contacted close to 15 agents but no resolved issue,40k blocked been 2 months no refund no support",We are truly sorry to hear about the frustration you've experienced regarding your refund and the lack of support over the past two months. We would like to investigate this immediately. Please send us a DM with your order details or the associated email address so we can look into this for you.,1755;2381;493,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-125,I’ve had no acknowledgement from amazon that they have been returned to sender. They should’ve been delivered last Sun and now looking for similar item delivery will be mon at earliest and I can’t trust they’ll arrive. Another item this week was not delivered and I had to reorder <URL>,"I'm very sorry for the frustration caused by these delivery issues and the lack of return updates. I would like to investigate this for you. Could you please provide your order number or the tracking details? Alternatively, please send us a DM with these details so we can look into the status of your returns and the missing items: <URL>",1537;1610;2424,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-129,I placed an order of NFS Payback and paid extra bucks for prime delivery to be delivered by 11 am and still hasn't been delivered. I don't understand this thing. Why do you guys promise something and not do anything about. I have called up 2wice.,I'm sorry for the frustration caused by the delay of your NFS Payback order. We want to look into this for you right away. Could you please send us a DM with your order number or the tracking details so we can investigate the status of your delivery?,1467,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-011,my BAOT shipment from got delayed a week and i’m not even mad. this is incredible. haha #FOH,"Hi there, I'm very sorry to hear about the delay with your BAOT shipment. I'd like to look into this for you. Could you please send us a DM with your order details or check the latest status here: <URL>",3181,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-054,Do you guys have a color display kindle? I am NOT looking for a tablet. And are there any #BlackFriday deals on it?,"We currently do not offer a color display Kindle, as our Kindle line is specifically designed with E-ink technology for a paper-like reading experience. Regarding #BlackFriday deals, please check our website for the latest offers. If you need help finding a specific device or have account questions, please send us a DM with your details so we can investigate further!",,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-032,"I was not provided any more than is already on the USPS tracking page, which as you know says that a package that was out for delivery on Saturday is now expected to be delivered by tuesday(?)","I am sorry to hear your package has been delayed past the expected delivery date. I understand how frustrating it is to see conflicting tracking information. To help us investigate this further, please send us a DM with your order number and the tracking details so we can look into this for you: https://amzn.to/3657QyB",1005,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-006,I ordered pigeon gas stove with order I'd 171-7614411-4707553 on and updated it delivered but I haven't received the it yet.,"I am sorry to hear that your order 171-7614411-4707553 is marked as delivered but has not been received. Please don't provide your order details here, as we consider it to be personal information. Our Twitter page is public. Please send us a Direct Message so we can investigate this with the carrier for you.",1731;1003,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-017,"waited all day for delivery, just had an email notification to say an attempt had been made which I can 100% confirm to be untrue. I have cameras on my front door so know that no one has tried to deliver here.","I am very sorry to hear about this frustrating experience, especially since you have confirmed no delivery attempt was made. Please share your order number or the tracking link here: <URL> and we will look into this for you. Please don’t provide your order details, (2/3)",948,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-028,"I have checked 5 times at this point, and your website does not tell me who the carrier is. Normally it will but this time it says nothing. I sent you the exact thing that I see on mobile as well as on my desktop.","I'm sorry for the frustration regarding the missing carrier information on your order status page. To investigate this further, could you please send us a DM with your order number? We would like to look into this for you and provide the correct tracking details. Please reach out to us here: https://www.amazon.com/contact-us",,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-003,"So, sent me a broken LP & when I returned it, they sent me an LP by another band. #WTF?",I'm sorry to hear about the trouble with your LP order and the incorrect replacement. I would like to look into this for you. Could you please send us a DM with your order number or the tracking details so I can investigate what happened?,3125;1624;1362,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-082,Really ?? Another fake ‘we attempted delivery’ message from 1 of your sellers? This is happening more and more. I’m sitting right here on my porch - no one delivered anything. Gr8 way to not meet delivery promises.,"I am very sorry to hear about this frustrating experience with your delivery. This is certainly not the service we aim to provide. To help me investigate this further, could you please send us a DM with your order number and the tracking details? We would like to look into this for you.",2478,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-122,I've looked at that page. I don't know who the carrier is. Site is saying handed to resident but I've not got it and I was the only one in...,"I am very sorry to hear that your parcel is missing despite being marked as delivered. To investigate this with the carrier, could you please send us a DM with your order number? We need to verify the carrier details to open an investigation. You can also check the carrier information here: <URL>. Please let us know so we can assist you further.",106,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-142,when is my echo coming ? 😔,"Oh no! We're sorry to hear your Echo hasn't arrived as expected. We'd like to look into this for you right away. Could you please provide your order number or the delivery date mentioned in your confirmation email? It may also help to know what your most recent tracking update says, which you can find here: <URL>",1227,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-014,Hello where is my product and already late we are missing this book Please help me provide this book.,"I am sorry to hear your book has not arrived as expected. To help me investigate this delay, could you please provide your order number or the delivery status you are currently seeing here: <URL>? Once I have those details, I can look into this for you.",1873,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-029,haven't received the product yet. It's been more than 15 days <URL>,"I am very sorry to hear that your order has not arrived as expected. We would like to look into this for you. Please send us a DM with your order details so we can investigate the status of your shipment. Also, please don't provide the order details in this public thread, as we consider it personal information.",2424;2575,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-087,"How hard is it to deliver a product that is already been paid for, ? Order# 171-6048878-8373121 #delayed by 9 days! #Shame","I'm sorry for the frustration caused by this 9-day delay, and I apologize that your order hasn't arrived as expected. Could you please confirm the current tracking status shown here: https://www.amazon.com/your-orders? Once you have that information, please send us a DM with the details so we can investigate what is happening with your shipment.",2947;3147,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-097,Ok can we have a talk about delivering your packages? They are never on time and always delayed. #LetDown #uspsSucks <URL>,I'm sorry for the frustration caused by this delay. We'd like to look into this for you. Could you please send us a DM with your order number or the tracking details so we can investigate what happened with your delivery?,2368;792;569,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-089,"pathetic delivery service and rude behavior by Amazon customer care , returned my order without even notifying me. Disappointing <URL>","We are truly sorry to hear about your experience with our delivery service and the interaction with our team. We would like to investigate this for you. Please send us a DM with your order details so we can look into this immediately. Please don't provide your order details here, as we consider them to be personal information. Our page is visible to the public. (2/2)",2683;2954;236,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-068,One was shipped via AMZL US and the other UPS.,"I'm sorry to hear about the trouble you've experienced with your recent deliveries. I'd like a member of my team to investigate this directly. Please, provide us with your order or tracking details here: <URL>",3117;2096,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-010,U are the worst shopping app I used and suffered <URL>,I'm sorry to hear about your experience. We would like to look into this for you. Could you please send us a Direct Message with your order or tracking details so we can investigate further? Please do not share any personal information in this public thread.,2164,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-070,Why would Belgian customers pay for #Prime Video if we cannot order the Fire TV Stick and the Prime Video app doesn't support #Chromecast ? #fail #AmazonDE <URL> <URL>,We're sorry for the frustration regarding device availability and casting options in your region. We'd like to look into this for you. Please send us a DM with your account details or order information so we can investigate further. 2/2,1823;317;889,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-116,Order #171-8557356-7597938 Not received but showing delivered. Not much help from calls. Plz look into this.,"I am sorry to hear that your order shows as delivered but has not been received. Please don't provide your order details here, as we consider it to be personal information. Our Twitter page is public. Please send us a DM with your order number so we can investigate this with the carrier for you.",616;1731,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-102,No tracking??? <URL>,I'm sorry to hear your parcel hasn't arrived as expected. We'd like to have a specialist look into this with you. Please provide your order details or reach out to us here: <URL> so we can investigate the tracking status further. Keep us posted.,443;1092,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-008,My order from UK has been delivered to a post office 25 km from my home instead of directly to me 😞 You should seriously consider using another carrier than PostNord for your deliveries in Denmark. I even payed extra to get it delivered quick 😵,"I am very sorry to hear that your order was delivered to a distant post office instead of your home address. I understand how frustrating this is, especially when you paid for expedited delivery. Could you please provide your order number or the tracking ID so I can investigate this with the carrier for you?",1974,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-091,whenever I try to contact customer service by Amazon app it says they are unable to find my order #pathetic,"I am sorry to hear you are having trouble reaching our support team through the app. To help us investigate this issue, could you please send us a DM with the email address associated with your account? Please don't provide your order details here, as we consider them to be personal information and our page is visible to the public.",236;2683,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-138,m sorry2disturbed u but m mentally harassed by Amazon 405-6636472-3798710 not working booked another order but not getting refund,I am truly sorry to hear about the distress this has caused you. We would like to investigate the status of your refund and the order issues. Could you please share the order ID for the second booking or send us a DM with your account details so we can look into this for you? (1/2),2471;1372;414,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-045,"Yes, but they insist it is not return button as the website suggests. Very strange!","I am sorry to hear you are having trouble initiating your return. We are not able to access or take action on your account from here, but we would be happy to look into available options if you could provide your order details via DM. Please let us know the order number so we can investigate this further for you.",647,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-064,Please give me the solution that why my order returned.,"I’m sorry to hear about the issue you’re facing with your order being returned. As this is a social media platform, we'll not be able to access any of your account/order details. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public. Kindly reach out to us via the 'Help' section in your Amazon app for further assistance. (1/2)",3010;1731;1697,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-039,My text book rental from amazon prime is late and now I can’t do my assignments for this week. Cool 🙃🙃,"I'm very sorry to hear your textbook rental is delayed, especially since you need it for your assignments. Please share your order number or the delivery status you are currently seeing here: <URL> Once you provide those details, I can investigate the delay for you. And please let us know if we can be of further assistance!",1873,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-004,If you return and purchased same item then they will not give cashback though they sent you defective item #worst,I am very sorry to hear about the trouble you've had with your defective item and the return process. We would like to investigate this further for you. Could you please provide your order number or send us a DM with your account details so we can look into this immediately?,877,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-132,&by amazing I mean where is my package? USPS post office? Somewhere random in my complex?? Because its not at my door for pickup....,"I'm sorry for the trouble! I understand how frustrating it is when a package is marked as delivered but isn't at your door. To investigate this with the carrier, could you please confirm your order number or tracking ID via DM? We want to help resolve this for you!",3162;2397;2038,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-118,amazon i have told many time i dont want refund ok . i dont accept ur refund i only want my product. after 16 day u want to refund my money. <URL>,"We understand your frustration regarding your order and that you would prefer to receive the item rather than a refund. To investigate why the order was canceled and see if we can assist further, please send us a DM with your order number or tracking details. We would like to look into this for you.",,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-111,"Very pathetic service, Kept giving assurances of best service, canceled order after 13 days, Orde#171-4584530-0179506","I am very sorry to hear about the cancellation of your order #171-4584530-0179506 after such a long wait. I understand how frustrating this experience is. Please send us a DM with your order details so we can investigate this further for you. Twitter is a public platform, so please avoid sharing personal information here. (1/2)",2174;1245;2137,acknowledge the request|ask for the order number,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-023,Worst service Amazon. Canceled order false reason of me refusing to accept order even after me calling dem 20 times. #Amazon #AmazonIndia,"We sincerely apologize for the frustration caused by the cancellation of your order and the difficulty in reaching our support team. We never intend for our customers to have this experience. Please send us a DM with your order details so we can investigate this for you. Please do not share your order details here, as this page is public. (1/2)",2128;2683;236,acknowledge the request|ask for the order number,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-033,"Ordered Clinique happy aftershave on Friday 24th of November, yesterday I checked to see when it would be delivered, stated Thursday (today). I checked again this morning and it now says payment declined, this is NOT the case! Cust service is a joke!","I am sorry to hear about the frustration regarding your Clinique order and the payment status. To investigate this, please send us a DM with your order number. Please do not provide your order details here, as this is a public platform. Once received, we will look into the payment issue and the status of your order. (1/2)",1070;1245,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-051,I have the app but don’t have amazon prime membership???? <URL>,"I'm sorry to hear you're having trouble with your Prime membership status. To investigate this further, please send us a DM with your account details or the order/tracking information associated with your inquiry. We'll pass your feedback to the relevant team to look into this for you.",1542,acknowledge the device/account issue|ask for device/account details or give a first step,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
